"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Cart functionality tests","Added item info","0","1","0","0","0"
"","Check booking API","Receive all booking test","0","0","1","0","0"
"","Log in negative tests","Authentication error","0","3","0","0","0"
"","Cart functionality tests","Add item to cart","0","1","0","0","0"
"","Check booking API","Update created booking test","0","0","1","0","0"
"","Check booking API","Create booking tests","0","0","1","0","0"
"","Log in negative tests","Incorrect login error","0","3","0","0","0"
"","Check booking API","Get created booking by Id tests","0","0","1","0","0"
"","Check booking API","Patch created booking test","0","0","1","0","0"
"","Check booking API","Delete created booking by Id test","0","0","1","0","0"
